golferId,position,firstName,lastName,representsCountryName,overallPar,totalStrokes,isAmateur,age,imageUrl,representsCountryUrl,R1,R2,R3,R4,R3_pairing,R4_pairing,college (at graduation),name
43344,T40,Si Woo,Kim,South Korea,6,290,False,27,https://images.thegolfchannel.com/images/eventphoto/k-o/483986.jpg,https://images.thegolfchannel.com/images/element2008/475741.gif,71,75,70,74,1,20,Yonsei University,Si Woo Kim
61053,T40,J.T.,Poston,United States,6,290,False,29,https://static.golfchannel.com/GC/2018/headshots/Poston_JT/Poston_JT_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,72,73,71,74,7,20,Western Carolina University,J.T. Poston
39737,T40,Adam,Hadwin,Canada,6,290,False,35,https://static.golfchannel.com/GC/2018/headshots/Hadwin_Adam/Hadwin_Adam_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475635.gif,70,72,75,73,26,14,University of Louisville,Adam Hadwin
11875,T40,Ian,Poulter,England,6,290,False,47,https://static.golfchannel.com/GC/2018/headshots/Poulter_Ian/Poulter_Ian_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif,74,71,68,77,8,28,,Ian Poulter
37455,T46,Dylan,Frittelli,South Africa,7,291,False,32,https://static.golfchannel.com/GC/2018/headshots/Frittelli_Dylan/Frittelli_Dylan_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png,73,72,72,74,8,15,University of Texas,Dylan Frittelli
35191,T46,Tom,Hoge,United States,7,291,False,33,https://static.golfchannel.com/GC/2018/headshots/Hoge_Tom/Hoge_Tom_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,72,71,76,72,25,5,Texas Christian University,Tom Hoge
11117,T46,Lee,Westwood,England,7,291,False,49,https://static.golfchannel.com/GC/2018/headshots/Westwood_Lee/Westwood_Lee_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif,71,72,71,77,25,23,,Lee Westwood
57441,T46,Rick,Lamb,United States,7,291,False,32,https://static.golfchannel.com/GC/2018/headshots/Lamb_Rick/Lamb_Rick_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,71,75,74,71,4,4,University of Tennessee,Rick Lamb
12103,T50,Richard,Bland,England,8,292,False,50,https://static.golfchannel.com/GC/2018/headshots/Bland_Richard/Bland_Richard_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif,70,67,77,78,35,22,,Richard Bland
20442,T50,Bubba,Watson,United States,8,292,False,44,https://static.golfchannel.com/GC/2018/headshots/Watson_Bubba/Watson_Bubba_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,72,67,77,76,33,16,University of Georgia,Bubba Watson
22156,T50,Rafa,Cabrera Bello,Spain,8,292,False,38,https://static.golfchannel.com/GC/2018/headshots/Cabrera-Bello_Rafa/Cabrera Bello_Rafa_R_candid.jpg,https://images.thegolfchannel.com/images/element2008/475833.gif,68,76,74,74,16,11,University of Las Palmas,Rafa Cabrera Bello
39840,T50,Tommy,Fleetwood,England,8,292,False,32,https://static.golfchannel.com/GC/2018/headshots/Fleetwood_Tommy/Fleetwood_Tommy_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif,72,73,74,73,10,7,,Tommy Fleetwood
30986,T50,Gary,Woodland,United States,8,292,False,38,https://static.golfchannel.com/GC/2018/headshots/Woodland_Gary/Woodland_Gary_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,74,71,73,74,9,12,University of Kansas,Gary Woodland
55868,T55,Matt,Fitzpatrick,England,9,293,False,28,https://static.golfchannel.com/GC/2018/headshots/Fitzpatrick_Matthew/Fitzpatrick_Matthew_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif,70,75,72,76,10,15,Northwestern University,Matt Fitzpatrick
25558,T55,Kevin,Kisner,United States,9,293,False,39,https://images.thegolfchannel.com/images/eventphoto/k-o/483978.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,73,73,72,75,2,13,University of Georgia,Kevin Kisner
70572,T57,Akshay,Bhatia,United States,10,294,False,21,https://static.golfchannel.com/GC/2018/headshots/Bhatia_Akshay/Bhatia_Akshay_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,73,73,73,75,0,9,,Akshay Bhatia
23244,T57,Jhonattan,Vegas,Venezuela,10,294,False,38,https://static.golfchannel.com/GC/2018/headshots/Vegas_Jhonattan/Vegas_Jhonattan_R_Closeup.jpg,https://images.thegolfchannel.com/images/element2008/475634.gif,75,69,74,76,17,10,University of Texas,Jhonattan Vegas
66512,T57,Taylor,Montgomery,United States,10,294,False,28,https://images.thegolfchannel.com/images/eventphoto/k-o/483998.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,70,76,74,74,6,4,"University of Nevada, Las Vegas",Taylor Montgomery
11390,T57,Stewart,Cink,United States,10,294,False,49,https://static.golfchannel.com/GC/2018/headshots/Cink_Stewart/Cink_Stewart_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,73,72,74,75,15,6,Georgia Tech,Stewart Cink
12218,T57,Charley,Hoffman,United States,10,294,False,46,https://static.golfchannel.com/GC/2018/headshots/Hoffman_Charley/Hoffman_Charley_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,72,71,75,76,23,10,"University of Nevada, Las Vegas",Charley Hoffman
11134,T62,Phil,Mickelson,United States,11,295,False,52,https://static.golfchannel.com/GC/2018/headshots/Mickelson_Phil/Mickelson_Phil_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,75,69,76,75,16,3,Arizona State University,Phil Mickelson
61556,T62,Greyson,Sigg,United States,11,295,False,28,https://static.golfchannel.com/GC/2018/headshots/Sigg_Greyson/Sigg_Greyson_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,71,74,75,75,11,3,University of Georgia,Greyson Sigg
24147,64,Marc,Leishman,Australia,12,296,False,39,https://static.golfchannel.com/GC/2018/headshots/Leishman_Marc/Leishman_Marc_L_Candid.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif,74,70,75,77,19,5,,Marc Leishman
35310,T65,Troy,Merritt,United States,13,297,False,37,https://static.golfchannel.com/GC/2018/headshots/Merritt_Troy/Merritt_Troy_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,75,71,73,78,6,8,Boise State University,Troy Merritt
21242,T65,Matt,Jones,Australia,13,297,False,43,https://static.golfchannel.com/GC/2018/headshots/Jones_Matt/Jones_Matt_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif,72,71,79,75,24,2,Arizona State University,Matt Jones
40528,T65,Shane,Lowry,Ireland,13,297,False,36,https://static.golfchannel.com/GC/2018/headshots/Lowry_Shane/Lowry_Shane_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476066.gif,72,74,72,79,2,13,Athlone Institute of Technology,Shane Lowry
71043,T68,Wilco,Nienaber,South Africa,14,298,False,23,https://images.thegolfchannel.com/images/affiliatesite/483124.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png,72,74,80,72,3,0,,Wilco Nienaber
67233,T68,Kyle,Westmoreland,United States,14,298,False,31,https://images.thegolfchannel.com/images/affiliatesite/483124.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,71,73,78,76,18,2,United States Air Force Academy,Kyle Westmoreland
18572,T70,Jimmy,Walker,United States,19,303,False,44,https://static.golfchannel.com/GC/2018/headshots/Walker_Jimmy/Walker_Jimmy_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,74,72,77,80,1,1,Baylor University,Jimmy Walker
32383,T70,Fabián,Gómez,Argentina,19,303,False,44,https://static.golfchannel.com/GC/2018/headshots/Gomez_Fabian/Gomez_Fabian_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475604.gif,70,76,78,79,3,1,,Fabián Gómez
