golferId,position,name,country,age,overallPar,R1,R2,R3,R4,R3_pairing,R4_pairing,college,profile,flag
11134,T62,Phil Mickelson,United States,52,11,75,69,76,75,16,3,Arizona State University,https://static.golfchannel.com/GC/2018/headshots/Mickelson_Phil/Mickelson_Phil_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
61556,T62,Greyson Sigg,United States,28,11,71,74,75,75,11,3,University of Georgia,https://static.golfchannel.com/GC/2018/headshots/Sigg_Greyson/Sigg_Greyson_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
24147,64,Marc Leishman,Australia,39,12,74,70,75,77,19,5,,https://static.golfchannel.com/GC/2018/headshots/Leishman_Marc/Leishman_Marc_L_Candid.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif
35310,T65,Troy Merritt,United States,37,13,75,71,73,78,6,8,Boise State University,https://static.golfchannel.com/GC/2018/headshots/Merritt_Troy/Merritt_Troy_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
21242,T65,Matt Jones,Australia,43,13,72,71,79,75,24,2,Arizona State University,https://static.golfchannel.com/GC/2018/headshots/Jones_Matt/Jones_Matt_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif
40528,T65,Shane Lowry,Ireland,36,13,72,74,72,79,2,13,Athlone Institute of Technology,https://static.golfchannel.com/GC/2018/headshots/Lowry_Shane/Lowry_Shane_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476066.gif
71043,T68,Wilco Nienaber,South Africa,23,14,72,74,80,72,3,0,,https://images.thegolfchannel.com/images/affiliatesite/483124.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png
67233,T68,Kyle Westmoreland,United States,31,14,71,73,78,76,18,2,United States Air Force Academy,https://images.thegolfchannel.com/images/affiliatesite/483124.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
18572,T70,Jimmy Walker,United States,44,19,74,72,77,80,1,1,Baylor University,https://static.golfchannel.com/GC/2018/headshots/Walker_Jimmy/Walker_Jimmy_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
32383,T70,Fabián Gómez,Argentina,44,19,70,76,78,79,3,1,,https://static.golfchannel.com/GC/2018/headshots/Gomez_Fabian/Gomez_Fabian_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475604.gif
